Token ID,Name,Status,Legend,Background,Background Points,Skin,Skin Points,Type,Type Points,Body,Body Points,Mouth,Mouth Points,Eyes,Eyes Points,Head,Head Points,Special,Special Points,Trait Subtotal,Collection Score,Status Bonus,Total UglyPoints,Overall Rank,Collection Rank,Scoring Tier
1,Squig #1,OG,,Green,60,Amphibian Red,105,Amphibian,110,White Army Tee,95,Smile,70,Triple,65,Fresh Cut,100,None,0,605,605,200,805,303,962,OG
2,Squig #2,OG,,Grey Splash,70,Dark Brown,70,Squig,75,Born Ugly Tee,85,Tape,90,Anger Cyclops,75,Brown Hair Bandana,95,None,0,560,560,200,760,856,2969,OG
3,Squig #3,OG,,Green,60,Brown,70,Squig,75,Prison,90,Smile,70,Sleepy Triple,75,Green Cap,90,Sad Necklace,35,565,565,200,765,778,2713,OG
4,Squig #4,OG,,Green,60,Gold,105,Squig,75,Jedi,100,Open,70,Sleepy Triple,75,Pink Beanie,95,None,0,580,580,200,780,575,1928,OG
5,Squig #5,OG,,Pink Splash,70,Brown Elf,80,Squig Elf,80,Brown Suit,100,Sad,70,Cyclops Lashes,65,Pot Head,110,None,0,575,575,200,775,650,2189,OG
6,Squig #6,OG,,Yellow Boom,70,Brown,70,Squig,75,Baseball Jersey Red,90,Afraid,70,Angry Triple Lashes,75,Mountie,95,None,0,545,545,200,745,1066,3709,OG
7,Squig #7,OG,,Light Blue,60,Green,80,Squig,75,White Bralette,90,Open,70,Cyclops,65,Iridescent Sunhat,115,None,0,555,555,200,755,933,3233,OG
8,Squig #8,OG,,Orange,60,Green Elf,85,Squig Elf,80,Purple Tee,80,Tongue,80,Triple,65,Flowers,105,None,0,555,555,200,755,933,3233,OG
9,Squig #9,OG,,Light Blue Splash,70,Green Elf,85,Squig Elf,80,Blue Surf Lycra,90,Neutral,65,Bionic Lashes,80,Crown,110,None,0,580,580,200,780,575,1928,OG
10,Squig #10,OG,,Purple,60,Brown,70,Squig,75,Ugly Football Club,95,Tongue,80,Triple Lashes,65,Afro Brown,100,None,0,545,545,200,745,1066,3709,OG
11,Squig #11,OG,,Pink,60,Brown Elf,80,Squig Elf,80,Tattoo,105,Blue Tongue,85,Triple Lashes,65,Brown Hair Bandana,95,None,0,570,570,200,770,718,2450,OG
12,Squig #12,OG,,Purple,60,Green,80,Squig,75,Triangle Longue Tee,85,Smile,70,Angry Cyclops,70,Bandana,100,None,0,540,540,200,740,1131,3927,OG
13,Squig #13,OG,,Purple Portal,80,Beige,70,Squig,75,Black Sweat,80,Afraid,70,Suspect Cyclops,80,Space Brain,120,Multi Earring,25,600,600,200,800,356,1127,OG
