tokenID,name,description,file_name,attributes[Background],attributes[Skin],attributes[Type],attributes[Status],attributes[Body],attributes[Mouth],attributes[Eyes],attributes[Head],attributes[Special],attributes[Legend]
1,Squig #1,"4,444 Creatures from another world come to observe and imitate Humans.",1.png,Green,Amphibian Red,Amphibian,OG,White Army Tee,Smile,Triple,Fresh Cut,None,
2,Squig #2,"4,444 Creatures from another world come to observe and imitate Humans.",2.png,Grey Splash,Dark Brown,Squig,OG,Born Ugly Tee,Tape,Anger Cyclops,Brown Hair Bandana,None,
3,Squig #3,"4,444 Creatures from another world come to observe and imitate Humans.",3.png,Green,Brown,Squig,OG,Prison,Smile,Sleepy Triple,Green Cap,Sad Necklace,
4,Squig #4,"4,444 Creatures from another world come to observe and imitate Humans.",4.png,Green,Gold,Squig,OG,Jedi,Open,Sleepy Triple,Pink Beanie,None,
5,Squig #5,"4,444 Creatures from another world come to observe and imitate Humans.",5.png,Pink Splash,Brown Elf,Squig Elf,OG,Brown Suit,Sad,Cyclops Lashes,Pot Head,None,
6,Squig #6,"4,444 Creatures from another world come to observe and imitate Humans.",6.png,Yellow Boom,Brown,Squig,OG,Baseball Jersey Red,Afraid,Angry Triple Lashes,Mountie,None,
7,Squig #7,"4,444 Creatures from another world come to observe and imitate Humans.",7.png,Light Blue,Green,Squig,OG,White Bralette,Open,Cyclops,Iridescent Sunhat,None,
8,Squig #8,"4,444 Creatures from another world come to observe and imitate Humans.",8.png,Orange,Green Elf,Squig Elf,OG,Purple Tee,Tongue,Triple,Flowers,None,
9,Squig #9,"4,444 Creatures from another world come to observe and imitate Humans.",9.png,Light Blue Splash,Green Elf,Squig Elf,OG,Blue Surf Lycra,Neutral,Bionic Lashes,Crown,None,
10,Squig #10,"4,444 Creatures from another world come to observe and imitate Humans.",10.png,Purple,Brown,Squig,OG,Ugly Football Club,Tongue,Triple Lashes,Afro Brown,None,
11,Squig #11,"4,444 Creatures from another world come to observe and imitate Humans.",11.png,Pink,Brown Elf,Squig Elf,OG,Tattoo,Blue Tongue,Triple Lashes,Brown Hair Bandana,None,
12,Squig #12,"4,444 Creatures from another world come to observe and imitate Humans.",12.png,Purple,Green,Squig,OG,Triangle Longue Tee,Smile,Angry Cyclops,Bandana,None,
13,Squig #13,"4,444 Creatures from another world come to observe and imitate Humans.",13.png,Purple Portal,Beige,Squig,OG,Black Sweat,Afraid,Suspect Cyclops,Space Brain,Multi Earring,
14,Squig #14,"4,444 Creatures from another world come to observe and imitate Humans.",14.png,Grey,Zombie,Zombie,OG,Green White Polo,Neutral,Bionic,Green Ugly Cap,Multi Earring,
15,Squig #15,"4,444 Creatures from another world come to observe and imitate Humans.",15.png,Green Portal,Gold,Squig,OG,Fisherman Multi,Open,Triple Lashes,Yellow Punk,Blunt,
16,Squig #16,"4,444 Creatures from another world come to observe and imitate Humans.",16.png,Grey Splash,Brown,Squig,OG,White Tee,Neutral,Angry Triple,Brown Pigtails,None,
17,Squig #17,"4,444 Creatures from another world come to observe and imitate Humans.",17.png,Yellow Boom,Brown,Squig,OG,Ugly Varsity Purple,Afraid,Surgery,Green Mountie,None,
18,Squig #18,"4,444 Creatures from another world come to observe and imitate Humans.",18.png,Grey,Brown,Squig,OG,Yellow Pink Polo,Neutral,Angry Cyclops,Flower Hat,None,
19,Squig #19,"4,444 Creatures from another world come to observe and imitate Humans.",19.png,Pink Portal,Dark Brown,Squig,OG,Black Tank,Sad,Angry Triple,Green Ugly Cap,None,
20,Squig #20,"4,444 Creatures from another world come to observe and imitate Humans.",20.png,Pink,Brown Elf,Squig Elf,OG,Black Tee,Oh,Angry Cyclops,Lobby,None,
21,Squig #21,"4,444 Creatures from another world come to observe and imitate Humans.",21.png,Green,Dark Brown,Squig,OG,Blue Surf Lycra,Toothless,Angry Cyclops,Blonde Hair Bandana,None,
22,Squig #22,"4,444 Creatures from another world come to observe and imitate Humans.",22.png,Yellow Splash,Brown,Squig,OG,White Bralette,Neutral,Triple,Jason,None,
23,Squig #23,"4,444 Creatures from another world come to observe and imitate Humans.",23.png,Yellow,Dark Brown Elf,Squig Elf,OG,Born Ugly Tee,Toothless,Bionic Lashes,Grey Boom Bucket,None,
24,Squig #24,"4,444 Creatures from another world come to observe and imitate Humans.",24.png,Purple Portal,Beige,Squig,OG,White Tee Red Bandana,Gold Digger,Anger Cyclops,Dennis Pink,Multi Earring,
25,Squig #25,"4,444 Creatures from another world come to observe and imitate Humans.",25.png,Yellow Boom,Beige Elf,Squig Elf,OG,Green Tee,Afraid,Angry Cyclops Lashes,Green Ugly Cap,None,
26,Squig #26,"4,444 Creatures from another world come to observe and imitate Humans.",26.png,Orange Portal,Dark Brown Elf,Squig Elf,OG,Born Ugly Tank,Sad,Bionic Lashes,Proud To Be Ugly,Green Laser,
27,Squig #27,"4,444 Creatures from another world come to observe and imitate Humans.",27.png,Yellow Splash,Brown,Squig,OG,Jedi,Open,Angry Triple Lashes,Purple Punk,None,
28,Squig #28,"4,444 Creatures from another world come to observe and imitate Humans.",28.png,Green Boom,Purple,Squig,OG,Beige Jacket,Open,Cyclops Lashes,Basketball,None,
29,Squig #29,"4,444 Creatures from another world come to observe and imitate Humans.",29.png,Pink Boom,Dark Brown,Squig,OG,Cowboy Red,Smile,Cyclops Lashes,Green Cap,None,
30,Squig #30,"4,444 Creatures from another world come to observe and imitate Humans.",30.png,Green Boom,Brown,Squig,OG,Pink Jacket,Tape,Angry Cyclops Lashes,Ice Cream,Gold Earring,
31,Squig #31,"4,444 Creatures from another world come to observe and imitate Humans.",31.png,Pink Portal,Brown,Squig,OG,Flowers Shirt,Neutral,Angry Cyclops,Bow,Nouns Glasses,
32,Squig #32,"4,444 Creatures from another world come to observe and imitate Humans.",32.png,Purple Splash,Dark Brown Elf,Squig Elf,OG,Flowers Overalls,Sad,Angry Cyclops,Fast Food Visor,None,
33,Squig #33,"4,444 Creatures from another world come to observe and imitate Humans.",33.png,Pink,Purple Elf,Squig Elf,OG,Black Tank,Open,Angry Triple Lashes,Bow,Ugly Necklace,
34,Squig #34,"4,444 Creatures from another world come to observe and imitate Humans.",34.png,Yellow Portal,Amphibian Red,Amphibian,OG,White Tank,Open,Sleepy Triple,White Bowl,None,
35,Squig #35,"4,444 Creatures from another world come to observe and imitate Humans.",35.png,Yellow Boom,Beige Elf,Squig Elf,OG,Ugly Hockey Jersey,Neutral,Angry Cyclops Lashes,Blonde Hair Bandana,Parakeet,
36,Squig #36,"4,444 Creatures from another world come to observe and imitate Humans.",36.png,Purple,Purple Elf,Squig Elf,OG,Blue Puffy,Tongue,Angry Triple Lashes,Skate Pink,None,
37,Squig #37,"4,444 Creatures from another world come to observe and imitate Humans.",37.png,Grey Portal,Zombie,Zombie,OG,Ugly Tracksuit,Gold Giant Tongue,Surgery Lashes,Ski Goggles,Gold Earring,
38,Squig #38,"4,444 Creatures from another world come to observe and imitate Humans.",38.png,Yellow Boom,Beige Elf,Squig Elf,OG,Blue Tracksuit,Smile,Cyclops,Black Cap,None,
39,Squig #39,"4,444 Creatures from another world come to observe and imitate Humans.",39.png,Pink,Purple Elf,Squig Elf,OG,Multi Overalls,Mustache,Triple,Yellow Punk,None,
40,Squig #40,"4,444 Creatures from another world come to observe and imitate Humans.",40.png,Grey Splash,Robot,Robot,OG,Chain,Open,Triple Lashes,Pink Bowl,None,
41,Squig #41,"4,444 Creatures from another world come to observe and imitate Humans.",41.png,Yellow Portal,Green Elf,Squig Elf,OG,Green Polo,Sad,Cyclops Lashes,Green Ugly Cap,Gold Earring,
42,Squig #42,"4,444 Creatures from another world come to observe and imitate Humans.",42.png,Green,Zombie,Zombie,OG,Varsity Green,Gold Giant Tongue,Cyclops,Crown,None,
43,Squig #43,"4,444 Creatures from another world come to observe and imitate Humans.",43.png,Orange Splash,Dark Brown,Squig,OG,Yellow Puffy,Blue Tongue,Surgery,Blonde Hair Bandana,None,
44,Squig #44,"4,444 Creatures from another world come to observe and imitate Humans.",44.png,Green Boom,Green Elf,Squig Elf,OG,Varsity Green,Oh,Surgery,Brown Hair Bandana,None,
45,Squig #45,"4,444 Creatures from another world come to observe and imitate Humans.",45.png,Pink,Green Elf,Squig Elf,OG,Ugly Varsity Purple,Afraid,Cyclops Lashes,Black Cap,Dino,
46,Squig #46,"4,444 Creatures from another world come to observe and imitate Humans.",46.png,Green Boom,Crystal,Squig,OG,White Tee,Duck,Triple Lashes,Blonde Pigtails,None,
47,Squig #47,"4,444 Creatures from another world come to observe and imitate Humans.",47.png,Yellow,Brown,Squig,OG,Green Polo,Neutral,Bionic,Yellow Punk,None,
48,Squig #48,"4,444 Creatures from another world come to observe and imitate Humans.",48.png,Yellow Boom,Purple,Squig,OG,Blue Puffy,Smile,Surgery,Blue Ugly Cap,None,
49,Squig #49,"4,444 Creatures from another world come to observe and imitate Humans.",49.png,Yellow Splash,Green,Squig,OG,Flame Sweat,Smile,Cyclops Lashes,Purr Paw,None,
50,Squig #50,"4,444 Creatures from another world come to observe and imitate Humans.",50.png,Grey Portal,Purple,Squig,OG,Born Ugly Tank,Oh,Angry Cyclops,Pink Cowboy,None,
51,Squig #51,"4,444 Creatures from another world come to observe and imitate Humans.",51.png,Orange,Green Elf,Squig Elf,OG,Beavis Tee,Duck,Triple Lashes,Yellow Punk,Gold Earring,
52,Squig #52,"4,444 Creatures from another world come to observe and imitate Humans.",52.png,Purple,Beige Elf,Squig Elf,OG,White Tee,Neutral,Sleepy Triple,Blue Ugly Cap,Gold Earring,
53,Squig #53,"4,444 Creatures from another world come to observe and imitate Humans.",53.png,Light Blue Boom,Beige Elf,Squig Elf,OG,Flowers Overalls,Giant Tongue,Angry Cyclops,Purr Paw,None,
54,Squig #54,"4,444 Creatures from another world come to observe and imitate Humans.",54.png,Light Blue Boom,Brown,Squig,OG,White Sweat,Ball Gag,Triple Lashes,Mountie,None,
55,Squig #55,"4,444 Creatures from another world come to observe and imitate Humans.",55.png,Green,Amphibian Purple,Amphibian,OG,Pink Surf Lycra,Afraid,Angry Triple,Green Ugly Cap,None,
56,Squig #56,"4,444 Creatures from another world come to observe and imitate Humans.",56.png,Purple,Purple,Squig,OG,Flowers Overalls,Sad,Triple Lashes,Green Beanie,Weed Necklace,
57,Squig #57,"4,444 Creatures from another world come to observe and imitate Humans.",57.png,Green,Green,Squig,OG,Black Tee,Afraid,Angry Triple,Batmask,None,
58,Squig #58,"4,444 Creatures from another world come to observe and imitate Humans.",58.png,Yellow Portal,Dark Brown Elf,Squig Elf,OG,Black Sweat,Ugly Candy,Cyclops Lashes,Bald,Weed Necklace,
59,Squig #59,"4,444 Creatures from another world come to observe and imitate Humans.",59.png,Sky,Beige Elf,Squig Elf,OG,Yellow Pink Polo,Duck,Bionic Lashes,Yellow Bowl,None,
60,Squig #60,"4,444 Creatures from another world come to observe and imitate Humans.",60.png,Sky,Dark Brown,Squig,OG,Flowers Overalls,Sad,Sleepy Triple,Green Cap,None,
61,Squig #61,"4,444 Creatures from another world come to observe and imitate Humans.",61.png,Grey,Zombie,Zombie,OG,Black Tee Yellow Bandana,Sewn,Triple Lashes,Mono Pigtail,None,
62,Squig #62,"4,444 Creatures from another world come to observe and imitate Humans.",62.png,Purple Splash,Beige Elf,Squig Elf,OG,Butthead Tee,Open,Cyclops Lashes,Pink Beanie,Gold Earring,
63,Squig #63,"4,444 Creatures from another world come to observe and imitate Humans.",63.png,Purple Boom,Beige,Squig,OG,Varsity Green,Oh,Triple Lashes,Pink Ugly Cap,None,
64,Squig #64,"4,444 Creatures from another world come to observe and imitate Humans.",64.png,Light Blue Boom,Brown,Squig,OG,Prison,Afraid,Triple,Butthead Hair,None,
65,Squig #65,"4,444 Creatures from another world come to observe and imitate Humans.",65.png,Yellow Splash,Brown Elf,Squig Elf,OG,Cowboy Red,Giant Tongue,Triple Lashes,Ugly Pale Ale,None,
66,Squig #66,"4,444 Creatures from another world come to observe and imitate Humans.",66.png,Orange Boom,Zombie,Zombie,OG,Purple Transparent Shirt,Neutral,Triple,Butthead Hair,None,
67,Squig #67,"4,444 Creatures from another world come to observe and imitate Humans.",67.png,Purple Splash,Amphibian Purple,Amphibian,OG,Iridescent Bralette,Neutral,Sleepy Triple,Black Backwards Cap,None,
68,Squig #68,"4,444 Creatures from another world come to observe and imitate Humans.",68.png,Purple Splash,Green,Squig,OG,Purple Hoodie,Sad,Triple,Lemon Sunhat,None,
69,Squig #69,"4,444 Creatures from another world come to observe and imitate Humans.",69.png,,,,OG,,,,,,Cornhuglyio
70,Squig #70,"4,444 Creatures from another world come to observe and imitate Humans.",70.png,Grey Portal,Purple,Squig,OG,Blue Tracksuit,Toothless,Angry Triple,Pirate,None,
71,Squig #71,"4,444 Creatures from another world come to observe and imitate Humans.",71.png,Yellow Splash,Beige Elf,Squig Elf,OG,Cowboy Green,Tongue,Triple Lashes,Ski Goggles,None,
